	sequences per sample	iteration	A1	A2	B1	B2	C1	C2	D1	D2	E1	E2	F1	F2	G1	G2	H1	H2	s1r1	s1	s2r1	s2	s3r1	s3	s4r1	s4	s5r1	s5	s6r1	s6	s7r1	s7	s8r1	s8
alpha_rarefaction_8006_7.txt	8006	7	16.58361	19.70231	20.27103	19.96559	20.64104	18.81728	19.39319	19.1229	19.61031	19.60864	18.43721	17.8257	18.56358	19.66002	19.04305	18.85999	18.0438	16.10581	19.46943	19.31588	18.86788	19.29538	19.74259	18.22845	18.88211	18.58686	17.91379	18.27665	18.13954	18.89306	18.19033	18.19068
alpha_rarefaction_8006_8.txt	8006	8	16.18192	19.36228	20.06781	20.16546	20.41829	19.42268	20.1637	19.47773	20.65439	18.87486	18.303	18.37496	18.88798	20.16695	17.98213	18.84082	17.5899	16.5085	19.41647	20.29246	19.01775	18.95957	19.45374	16.85849	19.71938	17.40835	17.82091	17.43466	17.63702	18.91695	18.43342	17.8863
alpha_rarefaction_8006_9.txt	8006	9	16.65972	19.74651	19.90398	19.20476	21.09404	17.78465	19.53478	19.17337	19.92604	18.85578	18.08324	18.06513	18.7873	20.24867	19.24943	18.43273	18.16278	16.04592	18.53209	19.96955	19.28126	19.86657	20.3199	17.64942	19.33641	18.2941	17.77519	17.37604	17.79387	19.1299	17.6161	17.86029
alpha_rarefaction_10005_0.txt	10005	0	17.181	19.50857	21.33044	19.9826	20.92154	19.56398	20.64075	19.27797	20.25025	20.05479	18.78331	18.50725	19.67794	20.54743	19.28408	19.37737	19.05704	16.55519	19.81457	20.30901	19.02462	19.48694	20.65892	17.63032	19.79409	19.6043	18.16835	17.78466	18.84705	19.63614	18.71002	17.89122
alpha_rarefaction_10005_1.txt	10005	1	17.41568	19.98044	20.7011	19.43269	21.24955	19.7439	20.19883	19.51053	20.19566	20.21772	18.35173	19.15452	20.12025	20.5584	19.34826	18.67827	19.2159	16.66913	19.84984	19.95378	19.40826	20.20677	20.76538	17.88822	19.5573	18.22103	18.48827	18.24125	18.53554	19.35063	18.46082	18.4463
alpha_rarefaction_10005_2.txt	10005	2	16.78854	20.01114	21.30944	19.74954	21.18987	18.81791	20.73061	18.35091	21.12859	20.37633	18.80215	19.51593	19.33521	20.7031	19.38206	19.14114	18.74519	16.66775	19.50565	20.74139	19.47961	19.13834	20.53493	17.26003	19.58856	19.06332	18.67042	17.30379	18.62297	20.51435	18.40568	18.04737
alpha_rarefaction_10005_3.txt	10005	3	17.37685	20.10069	21.11824	19.43205	21.47574	19.48854	20.49751	19.93851	20.41177	19.95253	18.53062	18.99466	19.46809	19.95694	19.37364	19.92881	18.24288	17.11022	19.29708	20.77837	19.8021	19.75874	20.85699	17.77278	19.64938	19.0231	18.51373	17.63905	18.85772	19.92361	18.18686	17.98468
alpha_rarefaction_10005_4.txt	10005	4	17.95798	19.43423	20.51162	19.43616	21.17331	19.74631	20.53983	19.39177	20.8798	20.14901	19.077	19.21311	20.07654	20.08034	19.3131	18.95574	18.75559	16.29036	19.39017	20.16261	19.33077	19.32365	20.89313	17.36903	19.48342	19.20298	18.1144	18.04612	18.58737	19.90555	18.26623	17.59189
alpha_rarefaction_10005_5.txt	10005	5	17.53795	20.06056	20.82364	19.54214	21.57377	19.9787	20.78148	18.36852	20.21952	19.21044	19.64086	19.61745	19.7036	20.5775	18.93643	19.4321	18.19654	16.06426	19.50325	20.98962	19.28319	19.46823	20.04487	17.91072	19.41347	18.42959	18.47714	17.89987	18.02195	19.49093	18.46842	19.04827
alpha_rarefaction_10005_6.txt	10005	6	17.04943	20.30652	20.498	19.84549	20.92257	19.19492	20.38357	19.47847	20.86746	19.74729	18.48602	18.91381	19.27165	20.21379	19.37951	19.46901	17.98776	16.59991	19.68748	20.58466	19.83237	19.67964	20.02989	18.23992	19.91871	19.13987	18.43654	17.84199	18.89209	19.97851	18.36849	17.98926
